date,equity_flow_millions,bond_flow_millions,report_title,Unnamed: 4,Unnamed: 5
2026-06-03,-37375.0,16665.0,16,665.0,manual entry
2026-06-10,-20428.0,5253.0,5,253.0,manual entry
2026-06-17,-25214.0,2454.0,2,454.0,manual entry
2026-06-24,-16330.0,4745.0,4,745.0,manual entry
2026-07-01,-29913.0,3695.0,3,731.0,manual entry
2026-07-08,-9664.0,7132.0,,,
2026-07-15,-18104.0,4513.0,ICI weekly flow page (inline HTML),,
2026-07-22,-36490.0,2812.0,,,
2026-07-29,-22716.0,-40.0,,,manual entry
